id,model_id,algo_id,runtime
1,GBM_5_AutoML_20190416_222141,1,500
10,GBM_1_AutoML_20190416_190838,1,1000
11,GBM_1_AutoML_20190416_154932,1,1000
12,GBM_5_AutoML_20190416_154932,1,1000
13,GBM_4_AutoML_20190416_154932,1,1000
14,GBM_3_AutoML_20190416_154932,1,1000
15,GBM_2_AutoML_20190416_154932,1,1000
16,GBM_5_AutoML_20190416_235225,1,1000
17,GBM_3_AutoML_20190416_235225,1,1000
18,GBM_2_AutoML_20190416_235225,1,1000
19,GBM_1_AutoML_20190416_235225,1,1000
2,GBM_2_AutoML_20190416_222141,1,500
20,GBM_grid_1_AutoML_20190416_235225_model_2,1,2500
21,GBM_grid_1_AutoML_20190416_235225_model_1,1,2500
22,DRF_1_AutoML_20190416_151701,2,500
23,DRF_1_AutoML_20190416_190838,2,1500
24,DRF_1_AutoML_20190416_154932,2,2000
25,DRF_1_AutoML_20190416_235225,2,2500
26,GBM_1_AutoML_20190419_174950,1,1500
27,GBM_2_AutoML_20190419_174950,1,1500
28,GBM_3_AutoML_20190419_174950,1,1500
29,GBM_4_AutoML_20190419_174950,1,1500
3,GBM_1_AutoML_20190416_222141,1,500
30,GBM_grid_1_AutoML_20190419_205801_model_2,1,2500
31,GBM_grid_1_AutoML_20190419_205801_model_1,1,2500
32,GBM_5_AutoML_20190419_174950,1,1500
33,GBM_1_AutoML_20190419_205801,1,1500
34,GBM_2_AutoML_20190419_205801,1,1500
35,GBM_3_AutoML_20190419_205801,1,1500
36,GBM_4_AutoML_20190419_205801,1,1500
37,GBM_5_AutoML_20190419_205801,1,2000
38,GBM_1_AutoML_20190419_200713,1,2000
39,GBM_2_AutoML_20190419_200713,1,2000
40,GBM_3_AutoML_20190419_200713,1,2000
41,GBM_4_AutoML_20190419_200713,1,2000
42,GBM_5_AutoML_20190419_200713,1,2000
43,GBM_1_AutoML_20190419_184714,1,2000
44,GBM_2_AutoML_20190419_184714,1,2000
45,GBM_3_AutoML_20190419_184714,1,2000
46,GBM_4_AutoML_20190419_184714,1,2000
47,GBM_5_AutoML_20190419_184714,1,2000
48,GBM_1_AutoML_20190417_172402,1,2000
49,GBM_2_AutoML_20190417_172402,1,2000
5,GBM_1_AutoML_20190416_151701,1,500
50,GBM_3_AutoML_20190417_172402,1,2500
51,GLM_grid_1_AutoML_20190419_184714_model_1,3,500
52,GLM_grid_1_AutoML_20190419_200713_model_1,3,1500
53,GLM_grid_1_AutoML_20190419_200713_model_1,3,1000
54,GLM_grid_1_AutoML_20190419_205801_model,3,2000
55,GLM_grid_1_AutoML_20190419_174950_model,3,2500
56,DeepLearning_1_AutoML_20190416_222141,4,2000
57,DeepLearning_1_AutoML_20190416_235225,4,2500
6,GBM_5_AutoML_20190416_190838,1,500
7,GBM_3_AutoML_20190416_190838,1,500
8,GBM_4_AutoML_20190416_190838,1,500
9,GBM_2_AutoML_20190416_190838,1,500
